"$defaultCurrency=NOK";;;;;;;;;
"insert PriceRow";"catalogVersion(catalog(id),version)";"currency(isocode)[default=$defaultCurrency]";"giveAwayPrice[allownull=true]";"minqtd[allownull=true]";"net[allownull=true]";"price[allownull=true]";"product(catalogVersion(catalog(id),version),code)";"unit(code)[allownull=true]";"unitFactor[allownull=true]"
;"apparelProductCatalog:Online";;"false";1;"false";72,168;"apparelProductCatalog:Online:300441142";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";180,8664;"apparelProductCatalog:Online:29531";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";180,8664;"apparelProductCatalog:Online:29532";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";434,496;"apparelProductCatalog:Online:29533";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";579,4272;"apparelProductCatalog:Online:30404";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";579,4272;"apparelProductCatalog:Online:300047513";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";109,6656;"apparelProductCatalog:Online:45572";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";260,5488;"apparelProductCatalog:Online:45573";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";36,3072;"apparelProductCatalog:Online:45574";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";109,6656;"apparelProductCatalog:Online:45576";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";43,6728;"apparelProductCatalog:Online:45577";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";869,364;"apparelProductCatalog:Online:300046592";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";1159,2264;"apparelProductCatalog:Online:300005449";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";144,6336;"apparelProductCatalog:Online:300013358";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";651,9672;"apparelProductCatalog:Online:300015407";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";166,3584;"apparelProductCatalog:Online:300020294";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";363,6672;"apparelProductCatalog:Online:300022348";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";286,3656;"apparelProductCatalog:Online:300022349";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";349,5312;"apparelProductCatalog:Online:300022352";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";253,332;"apparelProductCatalog:Online:300022356";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";862,0728;"apparelProductCatalog:Online:300024964";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";579,4272;"apparelProductCatalog:Online:300040462";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";253,332;"apparelProductCatalog:Online:300044323";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";361,8816;"apparelProductCatalog:Online:300044596";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";289,5648;"apparelProductCatalog:Online:300044599";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";333,0144;"apparelProductCatalog:Online:300044600";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";130,1256;"apparelProductCatalog:Online:300044601";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";579,4272;"apparelProductCatalog:Online:300044617";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";724,4328;"apparelProductCatalog:Online:300044623";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";579,4272;"apparelProductCatalog:Online:300044624";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";724,4328;"apparelProductCatalog:Online:300045375";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";289,5648;"apparelProductCatalog:Online:300046522";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";724,4328;"apparelProductCatalog:Online:300046587";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";346,4064;"apparelProductCatalog:Online:300051511";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";724,4328;"apparelProductCatalog:Online:300047195";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";796,8984;"apparelProductCatalog:Online:300047196";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";724,4328;"apparelProductCatalog:Online:300047199";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";506,9616;"apparelProductCatalog:Online:300076936";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";644,676;"apparelProductCatalog:Online:300040585";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";862,0728;"apparelProductCatalog:Online:300060389";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";579,4272;"apparelProductCatalog:Online:300062456";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";398,2632;"apparelProductCatalog:Online:300060401";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";398,2632;"apparelProductCatalog:Online:300066928";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";227,5152;"apparelProductCatalog:Online:300067366";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";227,5152;"apparelProductCatalog:Online:300067367";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";227,5152;"apparelProductCatalog:Online:300067368";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";227,5152;"apparelProductCatalog:Online:300067369";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";227,5152;"apparelProductCatalog:Online:300067371";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";227,5152;"apparelProductCatalog:Online:300067372";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";227,5152;"apparelProductCatalog:Online:300046028";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";227,5152;"apparelProductCatalog:Online:300046029";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";227,5152;"apparelProductCatalog:Online:300046030";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";227,5152;"apparelProductCatalog:Online:300046031";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";227,5152;"apparelProductCatalog:Online:300046032";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";227,5152;"apparelProductCatalog:Online:300046033";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";227,5152;"apparelProductCatalog:Online:300046035";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";227,5152;"apparelProductCatalog:Online:300046036";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";227,5152;"apparelProductCatalog:Online:300046037";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";227,5152;"apparelProductCatalog:Online:300046038";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";227,5152;"apparelProductCatalog:Online:300046039";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";227,5152;"apparelProductCatalog:Online:300046043";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";227,5152;"apparelProductCatalog:Online:300052678";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";227,5152;"apparelProductCatalog:Online:300076093";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";227,5152;"apparelProductCatalog:Online:300076094";"pieces";1
;"apparelProductCatalog:Online";;"false";1;"false";227,5152;"apparelProductCatalog:Online:300147511";"pieces";1
